x,x
x,x
Temp,J/mol.K
286.17,164.5434
291.28,165.5411
291.28,165.8737
296.38,166.5388
296.38,167.2871
301.49,167.786
301.49,168.1186
306.59,169.1995
306.59,169.1163
311.69,170.2803
311.69,170.5298
316.8,171.3612
316.8,171.6938
321.9,172.6084
321.9,173.1073
327.01,174.105
327.01,174.2713
332.12,175.6848
332.12,175.3522
337.22,176.6825
337.22,177.1814
342.33,178.0959
342.33,178.5948
347.43,179.5094
347.43,179.4263
352.54,181.2554
352.54,181.3386
393.15,180.186
418.15,191.30256
443.15,203.091
468.15,215.67348
493.15,229.05
518.15,243.34272
543.15,259.34568
