Clapeyron Estimator ,,,
[method=partial_SO2],,,
T,w,loading,out_partial
293,0.1,0.0341914,13289
293,0.1,0.0463291,26577
293,0.1,0.0683923,39866
293,0.1,0.108695,53154
293,0.1,0.122807,67945
313,0.1,0.0285087,13289
313,0.1,0.0386155,26577
313,0.1,0.0570175,39866
313,0.1,0.0906749,53154
313,0.1,0.102498,67945
333,0.1,0.0237414,13289
333,0.1,0.0322273,26577
333,0.1,0.0475781,39866
333,0.1,0.0756101,53154
333,0.1,0.0855262,67945
293,0.2,0.0468153,13289
293,0.2,0.0768496,26577
293,0.2,0.102689,39866
293,0.2,0.146834,53154
293,0.2,0.179729,67945
313,0.2,0.0387108,13289
313,0.2,0.0641685,26577
313,0.2,0.0857169,39866
313,0.2,0.122425,53154
313,0.2,0.149981,67945
333,0.2,0.0326086,13289
333,0.2,0.053585,26577
333,0.2,0.0715102,39866
333,0.2,0.102212,53154
333,0.2,0.12519,67945
293,0.3,0.0682684,13289
293,0.3,0.0974445,26577
293,0.3,0.127383,39866
293,0.3,0.192887,53154
293,0.3,0.238081,67945
313,0.3,0.0570175,13289
313,0.3,0.0917237,26577
313,0.3,0.106216,39866
313,0.3,0.160946,53154
313,0.3,0.198703,67945
333,0.3,0.0475781,13289
333,0.3,0.0765636,26577
333,0.3,0.0885773,39866
333,0.3,0.134248,53154
333,0.3,0.165808,67945
293,0.4,0.0968725,13289
293,0.4,0.147502,26577
293,0.4,0.204233,39866
293,0.4,0.25696,53154
293,0.4,0.338386,67945
313,0.4,0.0808542,13289
313,0.4,0.123093,26577
313,0.4,0.170385,39866
313,0.4,0.214817,53154
313,0.4,0.282418,67945
333,0.4,0.0675056,13289
333,0.4,0.102689,26577
333,0.4,0.106598,39866
333,0.4,0.147502,53154
333,0.4,0.20757,67945
293,0.5,0.118421,13289
293,0.5,0.213863,26577
293,0.5,0.252383,39866
293,0.5,0.293096,53154
293,0.5,0.426487,67945
313,0.5,0.0987794,13289
313,0.5,0.178585,26577
313,0.5,0.194794,39866
313,0.5,0.24466,53154
313,0.5,0.356025,67945
333,0.5,0.0855262,13289
333,0.5,0.122521,26577
333,0.5,0.129481,39866
333,0.5,0.192982,53154
333,0.5,0.244565,67945
